Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
208,tt3771626,2025-08-21,2025-08-21,,"The Brainwashing of My Dad","The Brainwashing of My Dad",https://www.imdb.com/title/tt3771626/,Movie,7.0,90,2015,"Documentary",1646,2016-03-18,"Jen Senko",,
209,tt33044444,2025-09-27,2025-09-27,,"Orb: On the Movements of the Earth","Chi. Chikyuu no Undou ni Tsuite",https://www.imdb.com/title/tt33044444/,TV Series,8.4,,2024,"Animation, Drama, History, Mystery, Sci-Fi",5798,2024-10-05,,,
210,tt14642342,2025-09-30,2025-09-30,,"Sonny Boy","Sonny Boy",https://www.imdb.com/title/tt14642342/,TV Series,7.6,,2021,"Animation, Drama, Mystery, Sci-Fi",2920,2021-07-16,,,
211,tt5253202,2025-10-05,2025-10-05,,"How Buildings Learn","How Buildings Learn",https://www.imdb.com/title/tt5253202/,TV Mini Series,7.0,,1997,"Documentary",14,1997-07,,,
212,tt0093777,2025-10-13,2025-10-13,,"Prince of Darkness","Prince of Darkness",https://www.imdb.com/title/tt0093777/,Movie,6.7,102,1987,"Fantasy, Horror",54888,1988-05-13,"John Carpenter",,
213,tt0167351,2025-10-18,2025-10-18,,"The Protagonists","The Protagonists",https://www.imdb.com/title/tt0167351/,Movie,5.3,92,1999,"Crime, Thriller",999,1999-09-10,"Luca Guadagnino",,
214,tt0119256,2025-10-28,2025-10-28,,"Hard Eight","Sydney",https://www.imdb.com/title/tt0119256/,Movie,7.1,102,1996,"Crime, Drama",59754,1997-10-17,"Paul Thomas Anderson",,
215,tt1560747,2025-10-28,2025-10-28,,"The Master","The Master",https://www.imdb.com/title/tt1560747/,Movie,7.1,138,2012,"Drama",198857,2012-11-16,"Paul Thomas Anderson",,
216,tt1791528,2025-10-28,2025-10-28,,"Inherent Vice","Inherent Vice",https://www.imdb.com/title/tt1791528/,Movie,6.6,148,2014,"Comedy, Crime, Drama, Mystery, Romance",118404,2015-01-30,"Paul Thomas Anderson",,
217,tt11271038,2025-10-28,2025-10-28,,"Licorice Pizza","Licorice Pizza",https://www.imdb.com/title/tt11271038/,Movie,7.1,133,2021,"Comedy, Drama, Romance",157091,2021-12-28,"Paul Thomas Anderson",,
218,tt0112641,2025-10-31,2025-10-31,,"Casino","Casino",https://www.imdb.com/title/tt0112641/,Movie,8.2,178,1995,"Crime, Drama",611261,1996-02-23,"Martin Scorsese",,
219,tt0405590,2025-11-04,2025-11-04,,"Ramón y Cajal","Ramón y Cajal",https://www.imdb.com/title/tt0405590/,TV Series,7.9,50,1982,"Biography, Drama",62,1982-01-26,,,
220,tt2903538,2025-11-04,2025-11-04,,"The Fly Room","The Fly Room",https://www.imdb.com/title/tt2903538/,Movie,6.1,83,2014,"Biography, Drama",109,2014,"Alexis Gambis",,
